source_ip,destination_ip,packet_size,protocol
10.202.6.177,10.202.6.38,229,17
10.202.6.38,13.69.239.79,66,6
13.69.239.79,10.202.6.38,66,6
13.69.239.79,10.202.6.38,66,6
13.69.239.79,10.202.6.38,66,6
10.202.6.38,10.202.6.177,92,17
10.202.6.38,10.202.6.177,92,17
10.202.6.177,10.202.6.38,217,17
10.202.6.177,10.202.6.38,229,17
10.202.6.38,13.69.239.77,66,6
13.69.239.77,10.202.6.38,66,6
13.69.239.77,10.202.6.38,66,6
13.69.239.77,10.202.6.38,66,6
172.21.103.245,13.107.5.93,66,6
172.21.103.245,13.107.5.93,66,6
172.21.103.245,13.107.5.93,66,6
13.107.5.93,172.21.103.245,66,6
13.107.5.93,172.21.103.245,66,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,66,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,571,6
172.21.103.245,13.107.5.93,571,6
172.21.103.245,13.107.5.93,763,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,153,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,153,6
13.107.5.93,172.21.103.245,153,6
172.21.103.245,13.107.5.93,398,6
172.21.103.245,13.107.5.93,834,6
172.21.103.245,13.107.5.93,398,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,3894,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,1334,6
13.107.5.93,172.21.103.245,1334,6
13.107.5.93,172.21.103.245,1334,6
13.107.5.93,172.21.103.245,2614,6
13.107.5.93,172.21.103.245,1257,6
13.107.5.93,172.21.103.245,1242,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,5174,6
13.107.5.93,172.21.103.245,1257,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,609,6
172.21.103.245,13.107.5.93,662,6
172.21.103.245,13.107.5.93,669,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,513,6
13.107.5.93,172.21.103.245,513,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,513,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,1334,6
13.107.5.93,172.21.103.245,235,6
13.107.5.93,172.21.103.245,1100,6
13.107.5.93,172.21.103.245,921,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,1334,6
13.107.5.93,172.21.103.245,254,6
13.107.5.93,172.21.103.245,1100,6
13.107.5.93,172.21.103.245,1334,6
13.107.5.93,172.21.103.245,703,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,54,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,236,6
13.107.5.93,172.21.103.245,1100,6
13.107.5.93,172.21.103.245,921,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,78,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,56,6
172.21.103.245,172.21.103.102,92,17
172.21.103.245,172.21.103.102,92,17
172.21.103.102,172.21.103.245,215,17
172.21.103.102,172.21.103.245,227,17
172.21.103.245,13.107.5.93,66,6
172.21.103.245,13.89.179.9,66,6
172.21.103.245,13.89.179.9,66,6
172.21.103.245,13.89.179.9,66,6
172.21.103.245,13.89.179.9,66,6
172.21.103.245,13.89.179.9,66,6
13.107.5.93,172.21.103.245,66,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,763,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,153,6
172.21.103.245,13.107.5.93,834,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,5174,6
13.107.5.93,172.21.103.245,1242,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,621,6
13.89.179.9,172.21.103.245,66,6
13.89.179.9,172.21.103.245,66,6
13.89.179.9,172.21.103.245,66,6
13.89.179.9,172.21.103.245,66,6
13.107.5.93,172.21.103.245,56,6
13.107.5.93,172.21.103.245,513,6
13.89.179.9,172.21.103.245,66,6
172.21.103.245,13.107.5.93,54,6
13.107.5.93,172.21.103.245,670,6
13.107.5.93,172.21.103.245,939,6
13.107.5.93,172.21.103.245,1100,6
13.107.5.93,172.21.103.245,628,6
172.21.103.245,13.107.5.93,54,6
172.21.103.245,13.107.5.93,78,6
